semilla	corte	gan
537547	4521	15758000
632087	4050	15740000
284747	4452	15576000
101653	4308	15864000
253789	4643	15914000
763417	4101	15798000
779771	4129	15702000
375899	4323	15754000
451201	4268	15704000
262349	3940	15880000
455737	4143	15794000
302483	4352	15776000
368803	4437	15686000
440987	4170	15740000
595807	4883	15834000
884489	4207	15426000
148021	3853	15654000
626617	4549	15782000
172049	4778	15724000
968467	4901	15718000
543853	4941	15638000
501971	4210	15740000
699241	3884	15832000
215183	4814	15652000
337327	4005	15830000
299567	5463	15794000
766477	4193	15614000
639143	5012	15736000
637729	4088	15664000
583153	5109	15622000
350593	4425	15870000
778123	4802	15756000
816547	4550	15700000
142211	3868	15704000
632939	4523	15754000
285517	4531	15818000
166157	3928	15664000
554569	6268	15784000
838459	3967	15826000
324983	4060	15720000
464033	6099	15642000
670139	4054	15652000
529957	5548	15704000
558913	4436	15928000
222347	4248	15664000
288313	4352	15856000
190829	3836	15848000
624737	5585	15790000
489817	4687	15826000
850181	4853	15574000
