semilla	corte	gan
537547	7880	20160000
632087	8565	20550000
284747	8731	20138000
101653	8377	20446000
253789	8321	20398000
763417	8366	20548000
779771	7788	20104000
375899	8043	20314000
451201	9107	20186000
262349	8719	20242000
455737	8233	19934000
302483	7980	20120000
368803	8821	20198000
440987	8410	20060000
595807	8562	20396000
884489	8254	20372000
148021	8710	20420000
626617	8206	20468000
172049	8521	20238000
968467	9131	20218000
543853	8950	20180000
501971	8047	20226000
699241	9113	20414000
215183	8545	20190000
337327	9023	20194000
299567	8701	20358000
766477	8087	20386000
639143	8386	20268000
637729	8595	20570000
583153	8061	20358000
350593	8238	20244000
778123	8689	20222000
816547	8688	20144000
142211	7897	20206000
632939	9103	20274000
285517	8475	20170000
166157	8430	20580000
554569	8846	20068000
838459	9575	20050000
324983	8451	20218000
464033	8657	20286000
670139	7911	20098000
529957	8446	20468000
558913	8526	20148000
222347	7995	20410000
288313	9056	20528000
190829	8375	20530000
624737	8258	20124000
489817	7730	20220000
850181	8423	20354000
