fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221015 032924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	273107	0.142476255418849	0.317750079082325	1945	262	13358	24170000	1
20221015 033000	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	273107	0.206362413123774	0.448550727367401	2885	653	10536	25570000	2
20221015 033049	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	273107	0.17248655334377	0.818160640420392	4869	440	13641	24160000	3
20221015 033253	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	346	TRUE	273107	0.0211240646153456	0.97559691125527	4086	547	8082	26560000	4
20221015 033706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	356	TRUE	273107	0.0136938532690401	0.503581146085635	1379	615	11383	26920000	5
20221015 033815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	273107	0.214533003222197	0.527983010681346	903	305	8771	24620000	6
20221015 033841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	273107	0.12064580565918	0.624065589839593	3573	366	6732	25180000	7
20221015 033905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	273107	0.15276772803854	0.900564268222079	6757	158	5745	25150000	8
20221015 033936	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	273107	0.13628625518945	0.250774950264022	4401	725	9908	25870000	9
20221015 033957	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	273107	0.196550773478346	0.95685033663176	2544	482	10325	25830000	10
20221015 034018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	273107	0.270862956738332	0.674412325844169	5830	699	5429	24030000	11
20221015 034119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	273107	0.0777844321966986	0.771895386688411	381	965	11725	25110000	12
