fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221014 183725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	273107	0.142476255418849	0.317750079082325	1945	262	13358	9290000	1
20221014 183759	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	273107	0.206362413123774	0.448550727367401	2885	653	10536	13330000	2
20221014 183819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	273107	0.17248655334377	0.818160640420392	4869	440	13641	8560000	3
20221014 183951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	296	TRUE	273107	0.0211240646153456	0.97559691125527	4086	547	8082	15920000	4
20221014 184243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	315	TRUE	273107	0.0136938532690401	0.503581146085635	1379	615	11383	12200000	5
20221014 184310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	273107	0.214533003222197	0.527983010681346	903	305	8771	13740000	6
20221014 184335	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	273107	0.12064580565918	0.624065589839593	3573	366	6732	16620000	7
20221014 184355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	273107	0.15276772803854	0.900564268222079	6757	158	5745	17150000	8
20221014 184422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	273107	0.13628625518945	0.250774950264022	4401	725	9908	13790000	9
20221014 184440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	273107	0.196550773478346	0.95685033663176	2544	482	10325	13270000	10
20221014 184453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	273107	0.270862956738332	0.674412325844169	5830	699	5429	16830000	11
20221014 184634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	273107	0.0777844321966986	0.771895386688411	381	965	11725	12230000	12
20221014 184741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	201	TRUE	273107	0.0540181293907808	0.378126389486715	3683	418	12744	9960000	13
20221014 184829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	273107	0.0452569217823911	0.843279419522733	5237	798	14967	6710000	14
20221014 184850	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	273107	0.296854883372027	0.569308044202626	6256	29	14350	7620000	15
20221014 184910	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	273107	0.262418942265969	0.345491285817698	2151	831	7867	15150000	16
20221014 184943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	273107	0.104209943361522	0.406572702107951	7566	987	6193	16900000	17
20221014 185008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	273107	0.226666450422897	0.234113094275817	7651	105	7417	16210000	18
20221014 185048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	273107	0.0838574349473347	0.746913334382698	615	197	9421	14600000	19
20221014 185104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	273107	0.246153307676432	0.692100081518292	6812	918	12040	10560000	20
20221014 185217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	392	TRUE	273107	0.0345711100707408	0.682160055822609	7991	112	5690	17100000	21
20221014 185249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	173	TRUE	273107	0.106589200730917	0.794147785598986	7995	556	6189	17070000	22
20221014 185320	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	273107	0.169980846407156	0.264379102535025	7991	268	5197	17370000	23
20221014 185435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	324	TRUE	273107	0.0581144080005983	0.893514009228024	4325	675	5001	18160000	24
20221014 190656	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	555	TRUE	273107	0.0125806703763379	0.999201702763889	80	974	5000	17680000	25
